1001	6	5	5	5	5
1051	18	20	18	19	16
1101	31	29	32	32	30
1151	44	42	40	41	39
1201	56	50	52	52	51
1251	67	60	61	63	59
1301	77	69	73	75	70
1351	89	80	79	86	78
1401	101	89	92	95	86
1451	110	103	103	105	94
1501	119	113	118	120	105
1551	130	119	128	130	115
1601	141	127	141	146	119
1651	149	137	151	157	125
1701	161	147	160	167	136
1751	173	158	169	178	147
1801	185	167	180	185	157
1851	198	178	188	198	165
1901	208	189	199	205	176
1951	219	195	210	216	187
2001	230	204	217	225	192
2051	238	214	228	231	201
2101	249	227	236	241	210
2151	263	232	247	250	217
2201	271	242	254	258	224
2251	279	254	262	267	228
2301	289	265	272	276	234
2351	301	275	279	283	243
2401	308	284	288	289	249
2451	317	289	295	297	255
2501	330	298	307	308	262
2551	342	308	314	314	270
2601	352	319	325	325	278
2651	364	325	331	334	286
2701	373	338	340	341	294
2751	381	345	346	347	301
2801	391	353	354	353	311
2851	400	361	363	359	317
2901	411	368	371	367	321
2951	422	376	380	374	329
3001	427	383	386	381	336
3051	432	391	392	390	341
3101	438	399	398	398	346
3151	449	403	407	408	355
3201	457	408	414	417	364
3251	468	414	421	423	370
3301	474	421	426	431	377
3351	483	424	432	435	386
3401	493	435	434	443	390
3451	500	442	443	449	398
3501	507	446	449	452	406
3551	512	454	453	454	409
3601	521	465	458	458	415
3651	528	473	462	464	421
3701	532	482	467	469	425
3751	540	491	473	479	432
3801	546	494	476	485	437
3851	555	499	479	494	438
3901	561	508	482	502	439
3951	564	514	490	511	443
4001	571	518	494	516	452
4051	578	522	497	525	456
4101	584	531	500	534	462
4151	589	536	501	536	464
4201	595	547	508	536	462
4251	601	555	514	542	463
4301	606	562	519	544	469
4351	610	567	525	548	472
4401	622	569	527	555	472
4451	634	574	527	560	469
4501	638	583	531	563	468
