cycle,start_fitness,mid_fitness,edge_fitness,start_het,mid_het,edge_het,current_deme
3201,0.965612,0.875477,0.695653,9.8664e-05,6.49497e-05,2.745e-06,133
3211,0.967479,0.867278,0.690961,9.96675e-05,6.55824e-05,9.76563e-07,134
3221,0.965905,0.868614,0.692984,9.71495e-05,6.73697e-05,1.73698e-06,135
3231,0.965593,0.876198,0.693561,9.95202e-05,6.83706e-05,1.57955e-06,137
3241,0.959652,0.869382,0.693561,9.87915e-05,6.53624e-05,2.75e-06,139
3251,0.963287,0.872179,0.693561,9.81577e-05,6.48857e-05,3.31944e-06,139
3261,0.967517,0.873477,0.679794,0.000104113,6.85493e-05,6.66205e-07,141
3271,0.959025,0.88997,0.690119,0.000100437,6.97105e-05,3.57813e-06,142
3281,0.961395,0.884907,0.683287,9.88003e-05,7.43993e-05,1.53125e-06,143
3291,0.965591,0.89199,0.675549,0.000102543,7.12529e-05,8.59375e-07,144
3301,0.962561,0.88602,0.673013,0.000101714,7.0034e-05,0.0,147
3311,0.964627,0.893007,0.673013,0.000102258,7.41572e-05,5.0e-07,147
3321,0.967758,0.911039,0.673013,0.000101894,7.49744e-05,5.27778e-07,149
3331,0.968178,0.917055,0.676042,0.000101099,7.66002e-05,1.58025e-06,149
3341,0.966186,0.911564,0.673013,0.000100932,7.83217e-05,1.125e-06,151
3351,0.962752,0.912656,0.672003,0.000102764,7.62005e-05,1.89e-06,152
3361,0.968598,0.911452,0.669648,0.000104067,7.41845e-05,5.63776e-07,154
3371,0.965176,0.911831,0.670068,0.000104478,7.46575e-05,2.07422e-06,155
3381,0.964637,0.914307,0.669648,0.000107165,7.42586e-05,1.95139e-06,157
3391,0.967961,0.913449,0.669648,0.000105804,7.56311e-05,1.5e-06,159
3401,0.964349,0.90694,0.669648,0.000107101,7.30106e-05,2.33333e-06,161
3411,0.960237,0.90713,0.669648,0.000104523,7.51315e-05,2.625e-06,162
3421,0.958823,0.896433,0.662968,0.000105398,7.35351e-05,1.5e-06,163
3431,0.956299,0.89296,0.661311,0.000103661,7.66657e-05,1.03125e-06,165
3441,0.955614,0.903127,0.666316,0.000106095,7.68603e-05,1.125e-06,166
3451,0.959731,0.901902,0.667649,0.00010532,7.65753e-05,2.0e-06,167
3461,0.95712,0.900578,0.66409,0.000104798,7.54588e-05,1.77778e-06,168
3471,0.955907,0.906034,0.659653,0.000102955,7.71292e-05,3.11728e-07,169
3481,0.962057,0.906455,0.659653,0.000104098,7.67889e-05,1.625e-06,171
3491,0.950494,0.906119,0.656355,0.000104893,7.8426e-05,2.1875e-07,172
3501,0.964797,0.891229,0.656355,0.00010636,7.80816e-05,0.0,173
3511,0.957421,0.90658,0.659653,0.000105789,7.9363e-05,1.5e-06,174
3521,0.956663,0.902098,0.659653,0.000106988,7.6419e-05,1.125e-06,176
3531,0.949147,0.904236,0.654731,0.00010505,7.76073e-05,1.71875e-06,177
3541,0.945427,0.912327,0.659653,0.000104562,7.96334e-05,2.15625e-06,178
3551,0.94845,0.903878,0.649808,0.000108103,7.63588e-05,0.0,180
3561,0.959108,0.91256,0.657192,0.00010675,7.83387e-05,2.28125e-06,180
3571,0.957284,0.903826,0.654724,0.000108743,7.9625e-05,1.80664e-06,181
3581,0.958623,0.906924,0.653081,0.000108152,7.8868e-05,8.75e-07,183
3591,0.962871,0.902823,0.651457,0.000110866,7.86676e-05,2.15625e-06,184
3601,0.961698,0.906308,0.652263,0.000108248,8.04241e-05,2.13477e-06,185
3611,0.95075,0.909247,0.654609,0.000105293,8.10496e-05,4.50389e-06,186
3621,0.963265,0.912615,0.656355,0.000111195,8.41325e-05,4.15625e-06,187
3631,0.963755,0.910918,0.655269,0.00011263,8.3943e-05,4.46962e-06,188
3641,0.966908,0.913621,0.654724,0.000116421,8.41951e-05,4.83802e-06,189
3651,0.964316,0.908604,0.656355,0.000117426,8.42322e-05,3.72656e-06,191
3661,0.963802,0.907196,0.654722,0.000116956,8.21366e-05,5.17014e-06,192
3671,0.964309,0.90809,0.65094,0.000118185,8.42819e-05,4.18056e-06,194
3681,0.954312,0.909929,0.651954,0.000114212,8.47167e-05,4.86543e-06,195
3691,0.961369,0.901714,0.636909,0.000117026,8.49032e-05,1.125e-06,197
3701,0.962252,0.907939,0.65094,0.000116176,8.46212e-05,5.01389e-06,197
3711,0.958839,0.909803,0.652285,0.000112996,8.71567e-05,8.05078e-06,198
3721,0.961709,0.903688,0.65244,0.000115952,8.516e-05,6.345e-06,200
3731,0.957786,0.90434,0.65199,0.000117195,8.80242e-05,6.15278e-06,201
3741,0.9612,0.913981,0.638558,0.000117985,8.5785e-05,5.99306e-06,202
3751,0.965309,0.905439,0.65236,0.000116571,8.53082e-05,7.10281e-06,203
3761,0.963988,0.901554,0.656355,0.000117652,8.72942e-05,6.88281e-06,204
3771,0.966911,0.901247,0.636909,0.000119681,8.57758e-05,7.5e-07,205
3781,0.967127,0.90104,0.651473,0.000119845,8.58973e-05,6.14236e-06,206
3791,0.956066,0.905015,0.656355,0.000117287,8.86351e-05,5.0e-06,207
3801,0.959652,0.907048,0.65199,0.000116614,8.81729e-05,7.18403e-06,207
3811,0.960043,0.902186,0.627403,0.000117645,8.71364e-05,0.0,209
3821,0.958368,0.906929,0.643352,0.000114722,8.83704e-05,6.97934e-06,208
3831,0.963288,0.911813,0.627419,0.000119871,8.64347e-05,2.5e-06,210
3841,0.957752,0.906304,0.640881,0.000117907,8.88798e-05,6.515e-06,211
3851,0.955765,0.906657,0.643018,0.00011477,8.91137e-05,8.7168e-06,211
3861,0.965875,0.904646,0.621145,0.000119081,8.84104e-05,6.17187e-07,212
3871,0.955109,0.908717,0.621145,0.000118921,9.01519e-05,8.4375e-07,214
3881,0.957093,0.919221,0.625882,0.000116135,8.98793e-05,2.71875e-06,214
3891,0.95909,0.915823,0.644409,0.00011652,8.89965e-05,7.45833e-06,214
3901,0.957807,0.903707,0.638525,0.000120034,8.76311e-05,6.28125e-06,215
3911,0.961637,0.906161,0.63925,0.00011876,8.84258e-05,7.35714e-06,215
3921,0.963324,0.908112,0.646559,0.000121808,8.92368e-05,6.75e-06,216
3931,0.958206,0.902523,0.632188,0.000120965,8.57547e-05,2.9375e-06,217
3941,0.963169,0.914763,0.632188,0.000122892,8.91875e-05,3.375e-06,219
3951,0.9649,0.910741,0.627411,0.000124183,8.83648e-05,2.09375e-06,220
3961,0.960326,0.909543,0.633119,0.00011899,9.09699e-05,4.585e-06,221
3971,0.970486,0.910108,0.625886,0.000120942,9.46676e-05,3.29688e-06,222
3981,0.963291,0.901881,0.624266,0.000119425,9.32504e-05,1.125e-06,224
3991,0.967776,0.910445,0.622315,0.000124118,9.41292e-05,8.51563e-07,224
4001,0.96616,0.897481,0.621385,0.000124672,9.5571e-05,6.32396e-07,225
4011,0.964865,0.909672,0.621145,0.000128067,9.62506e-05,2.9321e-07,227
4021,0.969231,0.909,0.621145,0.000127577,9.65515e-05,5.0e-07,228
4031,0.969416,0.912345,0.621145,0.000128602,9.73672e-05,7.91016e-07,229
4041,0.97351,0.907392,0.621145,0.000130608,9.70662e-05,2.79297e-07,231
4051,0.969854,0.901299,0.621145,0.000132327,9.42009e-05,3.35938e-07,232
4061,0.971594,0.898546,0.621145,0.000134433,9.70137e-05,6.88776e-08,234
4071,0.969757,0.902057,0.621145,0.000132125,0.000100416,4.875e-08,235
4081,0.972149,0.90619,0.621145,0.000134757,0.000101275,1.12793e-06,235
4091,0.966649,0.907305,0.621145,0.000130598,9.88268e-05,1.5975e-06,237
4101,0.969804,0.909159,0.621145,0.00013397,0.000100045,7.5e-07,239
4111,0.972184,0.906408,0.621145,0.000129334,0.000100105,2.0625e-06,239
4121,0.968061,0.906308,0.621145,0.000126948,9.83335e-05,1.5e-06,240
4131,0.96234,0.903455,0.621145,0.000125631,9.6874e-05,1.125e-06,242
4141,0.964836,0.903681,0.619341,0.000124589,9.78026e-05,2.03646e-06,242
4151,0.950571,0.900533,0.621145,0.000122712,9.88652e-05,2.145e-06,243
4161,0.954438,0.904957,0.618047,0.00012206,0.000101221,1.21875e-06,243
4171,0.953243,0.907971,0.621145,0.000117557,0.000101051,1.59684e-06,242
4181,0.956546,0.90671,0.620886,0.000120934,0.000103107,2.67535e-06,243
4191,0.965594,0.911125,0.621145,0.000127182,0.000102283,2.13e-06,243
4201,0.960584,0.907785,0.617014,0.00012499,0.000101964,2.16667e-06,244
4211,0.961663,0.906118,0.611874,0.000127675,0.000104289,3.75e-07,246
4221,0.963211,0.900643,0.611874,0.00012616,0.000102164,5.27778e-07,247
4231,0.965561,0.894015,0.611874,0.000127675,0.000101783,2.75e-07,248
4241,0.95774,0.89632,0.611874,0.000126343,0.000103163,7.5e-07,250
4251,0.957378,0.898466,0.608822,0.000125271,0.000103115,1.125e-06,250
4261,0.968948,0.894808,0.611874,0.000130059,0.000104344,1.22222e-06,249
4271,0.96423,0.889988,0.611874,0.000130336,0.000103778,1.625e-06,249
4281,0.969412,0.896064,0.612331,0.000130183,0.000103455,2.55867e-06,249
4291,0.960058,0.899185,0.612643,0.000127057,0.000104097,3.48437e-06,250
4301,0.962741,0.899309,0.611874,0.000131334,0.000103534,0.0,251
4311,0.967391,0.893707,0.611874,0.000130541,0.000101779,2.02778e-06,252
4321,0.960449,0.90599,0.611874,0.000127452,0.000101943,2.0625e-06,253
4331,0.965845,0.911748,0.610047,0.000134416,0.000105445,2.55e-06,254
4341,0.963923,0.897728,0.611874,0.000133281,0.00010391,4.6875e-07,256
4351,0.964233,0.902987,0.611874,0.000130802,0.000106098,3.35938e-07,257
4361,0.970617,0.909557,0.611874,0.000131423,0.000106952,0.0,259
4371,0.969096,0.898675,0.611874,0.00013306,0.000107388,0.0,260
4381,0.958332,0.906768,0.611874,0.000128228,0.000108644,7.08333e-07,260
4391,0.965577,0.900473,0.611874,0.000134447,0.000106015,6.875e-07,261
4401,0.969097,0.901603,0.611874,0.000135238,0.000106658,1.93056e-06,262
4411,0.967108,0.902785,0.610344,0.000131505,0.00010613,1.0918e-06,263
4421,0.955893,0.892313,0.611874,0.000132766,0.000107203,1.40625e-06,264
4431,0.963967,0.89942,0.609834,0.000130922,0.000108093,1.13889e-06,265
4441,0.962182,0.902569,0.609689,0.000133723,0.000109503,1.09184e-06,266
4451,0.955102,0.894732,0.608409,0.000132728,0.000108131,8.16667e-07,267
4461,0.969441,0.904153,0.608815,0.000136425,0.000108423,1.28125e-06,268
4471,0.968172,0.901344,0.608434,0.000141781,0.000110084,1.05225e-06,268
4481,0.969151,0.904525,0.608815,0.000140145,0.000111481,9.96528e-07,269
4491,0.967175,0.894972,0.608815,0.000141404,0.000112205,7.5e-07,271
4501,0.975252,0.898804,0.608815,0.000142961,0.000112322,2.695e-06,270
